Model_name,F1-Score,Accuracy,Recall,Precision,Predict_seconds,Low_precision,Low_recall,Low_f1,Medium_precision,Medium_recall,Medium_f1,High_precision,High_recall,High_f1
Majority baseline,0.2466,0.5872,0.3333,0.1957,0.0000,0.5872,1.0000,0.7399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Decision Tree (d=8),0.9387,0.9771,0.9607,0.9206,0.0000,0.9855,0.9930,0.9893,0.9831,0.9563,0.9695,0.7932,0.9329,0.8574
K-NN,0.6452,0.7668,0.8058,0.6302,6.8000,0.9216,0.8323,0.8747,0.7395,0.6508,0.6923,0.2295,0.9343,0.3685
RBF SVM,0.8403,0.9122,0.9156,0.7997,132.2000,0.9628,0.9343,0.9483,0.8913,0.8759,0.8835,0.5450,0.9367,0.6891
Linear SVM,0.6833,0.8089,0.8236,0.6686,0.0000,0.8952,0.9198,0.9074,0.8331,0.6272,0.7156,0.2775,0.9238,0.4268
Random Forest,0.9433,0.9787,0.9615,0.9279,1.2000,0.9860,0.9938,0.9899,0.9841,0.9595,0.9716,0.8137,0.9312,0.8685
XGBoost,0.9484,0.9797,0.9674,0.9324,0.1000,0.9858,0.9942,0.9900,0.9861,0.9602,0.9730,0.8253,0.9479,0.8824
