max_depth,n_leaves,Macro_F1,CV_Macro_F1,CV_std
1,2,0.3446,0.5041,0.0004
2,4,0.5443,0.6729,0.0011
3,8,0.6836,0.8071,0.0027
4,16,0.7372,0.8481,0.0025
5,32,0.8694,0.9002,0.0025
6,62,0.9407,0.9558,0.0013
8,183,0.9387,0.9631,0.0014
10,384,0.935,0.9597,0.0012
12,613,0.9161,0.9573,0.0005
None,1521,0.8829,0.9466,0.0006
