Arm,Reference,Observed_delta,CI95_low,CI95_high,Share_no_harm,Excludes_zero
Majority baseline,Decision Tree (d=8),-0.7216,-0.7237,-0.7195,0.0,yes
K-NN,Decision Tree (d=8),-0.2169,-0.2223,-0.2115,0.0,yes
Linear SVM,Decision Tree (d=8),-0.2147,-0.2201,-0.2093,0.0,yes
Random Forest,Decision Tree (d=8),-0.0001,-0.0011,0.0009,0.4382,no
XGBoost,Decision Tree (d=8),-0.0123,-0.0142,-0.0103,0.0,yes
