n_components,Explained_variance,Macro_F1,High_recall,Seconds,Note
2,22.31,0.4873,0.8165,0.8,
3,29.34,0.4864,0.812,1.3,
5,41.16,0.5471,0.8408,4.2,
10,67.64,0.566,0.8779,40.8,
20,87.58,0.6229,0.915,3.7,
all (38),100.0,0.6452,0.9343,4.0,
